Quantity,UnitPrice,CustomerID,KMeans,KMeans++,DBSCAN,Hierarchical,GMM,AutoEncoder,MLP
48,1.45,12731.0,1,1,0,0,1,1,1
12,2.1,17183.0,0,0,0,3,0,0,0
12,1.25,14422.0,1,1,0,0,1,3,1
6,2.95,13081.0,1,1,0,0,1,1,1
12,0.42,15547.0,0,0,0,3,0,3,0
-1,0.85,16554.0,0,0,0,3,0,0,0
1,4.25,16932.0,0,0,0,3,0,3,0
-1,1.95,12474.0,1,1,0,0,1,1,1
2,1.95,16361.0,0,0,0,3,0,3,0
2,0.55,16360.0,0,0,0,3,0,0,0
10,2.08,17735.0,0,0,0,3,0,0,0
3,5.95,13690.0,1,1,0,0,1,1,1
1,1.25,17238.0,0,0,0,3,0,0,0
6,2.1,12626.0,1,1,0,0,1,1,1
10,1.65,15727.0,0,0,0,3,0,3,0
1,4.25,17218.0,0,0,0,3,0,3,0
12,1.25,12867.0,1,1,0,0,1,1,1
6,5.45,14012.0,1,1,0,0,1,1,1
7,3.75,13755.0,1,1,0,0,1,1,1
24,0.83,12583.0,1,1,0,0,1,1,1
2,2.95,17841.0,0,0,0,3,0,0,0
12,1.25,16571.0,0,0,0,3,0,0,0
12,1.65,13116.0,1,1,0,0,1,1,1
3,4.95,12963.0,1,1,0,0,1,1,1
1,0.85,13558.0,1,1,0,0,1,1,1
24,0.39,18180.0,0,0,0,3,0,0,0
2,10.95,15145.0,1,1,0,1,1,1,1
10,1.65,12406.0,1,1,0,0,1,1,1
2,0.42,13772.0,1,1,0,0,1,3,1
2,0.65,16059.0,0,0,0,3,0,0,0
1,3.35,17360.0,0,0,0,3,0,0,0
12,0.85,15145.0,0,0,0,0,0,3,0
10,1.65,13365.0,1,1,0,0,1,1,1
1,3.29,14096.0,1,1,0,0,1,1,1
2,7.95,18130.0,0,0,0,3,0,3,0
3,1.69,16360.0,0,0,0,3,0,0,0
6,1.25,17238.0,0,0,0,3,0,0,0
5,0.65,12508.0,1,1,0,0,1,1,1
1,4.15,12748.0,1,1,0,0,1,1,1
18,0.79,13021.0,1,1,0,0,1,1,1
25,0.42,13692.0,1,1,0,0,1,1,1
3,1.25,14449.0,1,1,0,0,1,3,1
2,2.55,15004.0,1,1,0,0,0,3,1
12,1.45,16839.0,0,0,0,3,0,0,0
1,0.59,17585.0,0,0,0,3,0,0,0
2,1.25,14130.0,1,1,0,0,1,3,1
12,0.42,13426.0,1,1,0,0,1,1,1
1,16.95,16316.0,1,1,0,1,3,1,1
3,1.45,15555.0,0,0,0,3,0,3,0
12,1.45,13362.0,1,1,0,0,1,1,1
1,0.83,12743.0,1,1,0,0,1,1,1
12,1.25,14507.0,1,1,0,0,1,3,1
1,0.42,14704.0,1,1,0,0,0,3,1
10,1.25,13437.0,1,1,0,0,1,1,1
-2,3.75,17389.0,0,0,0,3,0,0,0
2,4.13,14096.0,1,1,0,0,1,1,1
1,0.55,16222.0,0,0,0,3,0,0,0
24,1.65,17348.0,0,0,0,3,0,0,0
6,0.85,14461.0,1,1,0,0,1,3,1
-1,1.95,14415.0,1,1,0,0,1,3,1
6,2.95,14961.0,1,1,0,0,1,3,1
12,1.45,17828.0,0,0,0,3,0,0,0
3,0.85,15529.0,0,0,0,3,0,3,0
12,1.25,15358.0,0,0,0,0,0,3,0
12,1.25,16767.0,0,0,0,3,0,0,0
3,0.65,12867.0,1,1,0,0,1,1,1
12,1.65,12588.0,1,1,0,0,1,1,1
12,0.12,16931.0,0,0,0,3,0,0,0
3,0.85,15427.0,0,0,0,3,0,3,0
1,0.39,16474.0,0,0,0,3,0,0,0
2,4.15,18069.0,0,0,0,3,0,0,0
3,0.55,13137.0,1,1,0,0,1,1,1
6,2.08,16393.0,0,0,0,3,0,0,0
24,0.29,18263.0,0,0,0,3,0,0,0
24,0.85,17007.0,0,0,0,3,0,0,0
5,2.95,12428.0,1,1,0,0,1,1,1
6,1.95,14506.0,1,1,0,0,1,3,1
-1,1.65,15555.0,0,0,0,3,0,3,0
2,8.25,12949.0,1,1,0,1,1,1,1
10,1.95,13488.0,1,1,0,0,1,1,1
1,1.95,17596.0,0,0,0,3,0,0,0
2,2.1,17364.0,0,0,0,3,0,0,0
4,1.65,16411.0,0,0,0,3,0,0,0
1,12.75,15605.0,1,1,0,1,1,1,1
1,2.08,16755.0,0,0,0,3,0,0,0
5,0.65,15356.0,0,0,0,3,0,3,0
2,6.25,12656.0,1,1,0,0,1,1,1
4,0.85,13782.0,1,1,0,0,1,1,1
1,0.65,16121.0,0,0,0,3,0,0,0
12,0.85,16270.0,0,0,0,3,0,0,0
12,1.25,18225.0,0,0,0,3,0,0,0
3,4.95,13327.0,1,1,0,0,1,1,1
1,10.95,12957.0,1,1,0,1,1,1,1
100,0.1,13718.0,1,1,0,0,3,0,1
3,4.95,12352.0,1,1,0,0,1,1,1
4,2.95,15917.0,0,0,0,3,0,3,0
6,2.1,12501.0,1,1,0,0,1,1,1
8,1.25,12626.0,1,1,0,0,1,1,1
1,1.65,18033.0,0,0,0,3,0,0,0
12,0.85,13800.0,1,1,0,0,1,1,1
3,39.95,13089.0,1,1,-1,1,3,1,1
2,2.89,16033.0,0,0,0,3,0,3,0
1,2.55,16360.0,0,0,0,3,0,3,0
1,1.25,16461.0,0,0,0,3,0,0,0
2,1.25,15407.0,0,0,0,3,0,3,0
100,0.42,15061.0,1,1,0,0,3,0,1
12,1.25,16020.0,0,0,0,3,0,0,0
20,1.95,12373.0,1,1,0,0,1,1,1
-3,0.72,17677.0,0,0,0,3,0,0,0
4,0.83,13869.0,1,1,0,0,1,1,1
24,1.25,14921.0,1,1,0,0,1,3,1
1,4.25,18156.0,0,0,0,3,0,0,0
6,2.95,17131.0,0,0,0,3,0,0,0
2,1.25,17870.0,0,0,0,3,0,0,0
1,2.95,15555.0,0,0,0,3,0,3,0
12,1.25,15104.0,0,0,0,0,0,3,0
2,2.95,16445.0,0,0,0,3,0,3,0
9,4.95,14240.0,1,1,0,0,1,1,1
6,2.95,12681.0,1,1,0,0,1,1,1
4,2.1,17107.0,0,0,0,3,0,0,0
1,2.1,16241.0,0,0,0,3,0,3,0
2,5.95,17979.0,0,0,0,3,0,0,0
3,1.25,14730.0,1,1,0,0,1,3,1
10,2.1,15727.0,0,0,0,3,0,3,0
12,0.42,14293.0,1,1,0,0,1,3,1
1,5.95,14573.0,1,1,0,0,1,1,1
1,3.75,16340.0,0,0,0,3,0,3,0
78,1.25,12901.0,1,1,0,0,1,3,1
1,4.25,17463.0,0,0,0,3,0,0,0
4,3.75,15738.0,0,0,0,3,0,3,0
1,16.95,13015.0,1,1,0,1,3,1,1
4,4.25,17405.0,0,0,0,3,0,0,0
12,1.25,15091.0,1,1,0,0,0,3,0
48,7.65,12435.0,1,1,0,0,1,1,1
6,2.55,15484.0,0,0,0,3,0,3,0
4,4.95,13507.0,1,1,0,0,1,1,1
1,1.25,16383.0,0,0,0,3,0,0,0
2,1.65,14572.0,1,1,0,0,1,3,1
24,1.25,14221.0,1,1,0,0,1,3,1
18,2.95,14895.0,1,1,0,0,1,3,1
12,0.85,13507.0,1,1,0,0,1,1,1
12,2.1,13078.0,1,1,0,0,1,1,1
3,1.25,16791.0,0,0,0,3,0,0,0
2,0.55,14769.0,1,1,0,0,0,3,1
25,0.21,15517.0,0,0,0,0,1,0,0
4,2.1,13668.0,1,1,0,0,1,1,1
4,2.55,17362.0,0,0,0,3,0,0,0
12,1.25,18059.0,0,0,0,3,0,0,0
12,1.25,16161.0,0,0,0,3,0,0,0
2,0.85,13050.0,1,1,0,0,1,1,1
6,2.95,15047.0,1,1,0,0,1,3,1
2,1.95,12748.0,1,1,0,0,1,1,1
4,2.1,17841.0,0,0,0,3,0,0,0
-1,1.45,13069.0,1,1,0,0,1,1,1
1,4.25,17397.0,0,0,0,3,0,0,0
96,1.06,18226.0,0,0,0,3,3,0,0
2,0.42,16014.0,0,0,0,3,0,0,0
4,4.95,17277.0,0,0,0,3,0,3,0
2,7.95,17725.0,0,0,0,3,0,3,0
24,2.95,15782.0,0,0,0,0,0,3,0
2,1.45,16910.0,0,0,0,3,0,0,0
1,2.95,18118.0,0,0,0,3,0,0,0
12,1.45,15194.0,0,0,0,0,0,3,0
1,6.95,13994.0,1,1,0,0,1,1,1
1,2.46,14096.0,1,1,0,0,1,1,1
10,0.85,15615.0,0,0,0,3,0,3,0
6,2.95,17091.0,0,0,0,3,0,0,0
1,0.55,14606.0,1,1,0,0,1,3,1
4,4.25,16801.0,0,0,0,3,0,3,0
12,0.65,18075.0,0,0,0,3,0,0,0
24,0.65,12685.0,1,1,0,0,1,1,1
1,0.83,14096.0,1,1,0,0,1,3,1
6,4.15,15622.0,0,0,0,0,0,3,0
2,4.65,14047.0,1,1,0,0,1,1,1
2,7.95,13534.0,1,1,0,1,1,1,1
4,0.42,15984.0,0,0,0,3,0,0,0
12,1.65,16147.0,0,0,0,3,0,0,0
3,1.25,18109.0,0,0,0,3,0,0,0
20,1.65,16242.0,0,0,0,3,0,0,0
12,1.25,16882.0,0,0,0,3,0,0,0
1,1.65,14456.0,1,1,0,0,1,3,1
50,2.08,12409.0,1,1,0,0,1,1,1
2,0.85,17614.0,0,0,0,3,0,0,0
-1,2.95,15189.0,1,1,0,0,0,3,1
4,18.0,12681.0,1,1,0,1,3,1,1
1,1.69,12748.0,1,1,0,0,1,1,1
4,4.25,13323.0,1,1,0,0,1,1,1
2,2.55,13451.0,1,1,0,0,1,1,1
2,2.08,17920.0,0,0,0,3,0,0,0
16,0.42,13050.0,1,1,0,0,1,1,1
4,10.79,14096.0,1,1,0,1,1,1,1
5,1.25,14606.0,1,1,0,0,1,3,1
12,1.25,14541.0,1,1,0,0,1,3,1
2,1.65,13614.0,1,1,0,0,1,1,1
4,3.75,15144.0,1,1,0,0,1,3,1
2,0.55,16007.0,0,0,0,3,0,0,0
4,2.1,14606.0,1,1,0,0,1,3,1
1,1.25,16919.0,0,0,0,3,0,0,0
2,15.0,14646.0,1,1,0,1,1,1,1
15,2.1,15058.0,1,1,0,0,1,3,1
16,0.65,14389.0,1,1,0,0,1,3,1
48,2.55,16705.0,0,0,0,3,0,0,0
48,2.08,13881.0,1,1,0,0,1,1,1
2,3.95,18198.0,0,0,0,3,0,0,0
36,0.42,14121.0,1,1,0,0,1,3,1
6,2.95,14842.0,1,1,0,0,1,3,1
10,0.85,15005.0,1,1,0,0,0,3,0
1,2.95,17433.0,0,0,0,3,0,0,0
8,0.42,17228.0,0,0,0,3,0,0,0
2,3.75,17811.0,0,0,0,3,0,0,0
48,0.85,12971.0,1,1,0,0,1,1,1
12,1.25,16779.0,0,0,0,3,0,0,0
-1,3.25,17428.0,0,0,0,3,0,0,0
10,1.25,15433.0,0,0,0,3,0,3,0
1,6.75,15532.0,1,1,0,0,1,3,1
1,1.25,16979.0,0,0,0,3,0,0,0
1,5.95,16081.0,0,0,0,3,1,3,0
12,0.85,13394.0,1,1,0,0,1,1,1
1,8.5,16692.0,0,0,0,3,1,3,0
1,1.95,13838.0,1,1,0,0,1,1,1
1,4.95,15834.0,0,0,0,3,0,3,0
10,2.08,17811.0,0,0,0,3,0,0,0
10,2.08,16717.0,0,0,0,3,0,0,0
1,0.55,17841.0,0,0,0,3,0,0,0
1,16.95,17861.0,0,0,0,1,3,3,0
1,0.39,13137.0,1,1,0,0,1,1,1
3,2.1,17625.0,0,0,0,3,0,0,0
1,2.89,13601.0,1,1,0,0,1,1,1
25,0.42,12708.0,1,1,0,0,1,1,1
1,9.95,15017.0,1,1,0,1,1,1,1
3,1.25,16734.0,0,0,0,3,0,0,0
256,0.72,15061.0,3,3,-1,0,3,0,3
15,4.95,14088.0,1,1,0,0,1,1,1
20,1.25,15494.0,0,0,0,0,0,3,0
3,4.15,15002.0,1,1,0,0,1,3,1
6,0.39,16776.0,0,0,0,3,0,0,0
2,1.25,14446.0,1,1,0,0,1,3,1
48,0.42,17865.0,0,0,0,3,0,0,0
1,0.39,17097.0,0,0,0,3,0,0,0
2,2.95,15719.0,0,0,0,3,0,3,0
6,1.06,17850.0,0,0,0,3,0,0,0
3,1.65,16931.0,0,0,0,3,0,0,0
20,1.25,17059.0,0,0,0,3,0,0,0
11,3.75,12839.0,1,1,0,0,1,1,1
12,1.25,17719.0,0,0,0,3,0,0,0
8,0.85,15039.0,0,0,0,0,0,3,0
6,0.39,14911.0,0,0,0,0,0,3,0
1,1.65,12748.0,1,1,0,0,1,1,1
12,2.89,12405.0,1,1,0,0,1,1,1
20,2.95,15708.0,0,0,0,0,0,3,0
12,0.85,12433.0,1,1,0,0,1,1,1
12,1.25,16145.0,0,0,0,3,0,0,0
1,2.95,15720.0,0,0,0,3,0,3,0
2,3.75,15574.0,0,0,0,0,0,3,0
10,1.25,13883.0,1,1,0,0,1,1,1
66,1.06,17931.0,0,0,0,3,1,0,0
12,0.85,15844.0,0,0,0,3,0,0,0
96,1.79,16107.0,1,1,0,0,1,0,1
2,3.75,18125.0,0,0,0,3,0,0,0
-1,6.95,17434.0,0,0,0,3,0,3,0
12,2.1,15321.0,0,0,0,0,0,3,0
9,0.39,14395.0,1,1,0,0,1,3,1
96,1.04,15567.0,1,1,0,0,1,0,1
48,0.85,14034.0,1,1,0,0,1,3,1
1,1.65,12856.0,1,1,0,0,1,1,1
6,2.1,16746.0,0,0,0,3,0,0,0
10,1.65,15296.0,0,0,0,0,0,3,0
10,1.65,12826.0,1,1,0,0,1,1,1
5,0.55,16809.0,0,0,0,3,0,0,0
24,1.79,13599.0,1,1,0,0,1,1,1
48,0.39,18287.0,0,0,0,3,0,0,0
1,2.95,17758.0,0,0,0,3,0,0,0
4,3.75,13021.0,1,1,0,0,1,1,1
12,1.25,16265.0,0,0,0,3,0,0,0
3,3.25,12748.0,1,1,0,0,1,1,1
12,1.65,13629.0,1,1,0,0,1,1,1
24,0.75,14336.0,1,1,0,0,1,3,1
24,0.55,16653.0,0,0,0,3,0,0,0
2,7.95,13468.0,1,1,0,1,1,1,1
5,4.95,16851.0,0,0,0,3,0,3,0
32,2.55,12916.0,1,1,0,0,1,1,1
24,1.95,12913.0,1,1,0,0,1,1,1
8,0.65,15494.0,0,0,0,3,0,3,0
1,2.55,15311.0,0,0,0,0,0,3,0
2,0.75,13230.0,1,1,0,0,1,1,1
96,1.85,13767.0,1,1,0,0,3,3,1
2,8.5,18210.0,0,0,0,3,0,3,0
10,1.65,12417.0,1,1,0,0,1,1,1
6,2.55,15150.0,1,1,0,0,0,3,1
1,1.65,15356.0,0,0,0,3,0,3,0
1,9.95,13755.0,1,1,0,1,1,1,1
4,4.15,13590.0,1,1,0,0,1,1,1
100,1.79,13881.0,1,1,0,0,3,3,1
5,0.85,15046.0,0,0,0,0,0,3,0
6,1.25,13184.0,1,1,0,0,1,1,1
10,1.95,18041.0,0,0,0,3,0,0,0
20,0.79,14561.0,1,1,0,0,1,3,1
2,2.08,13596.0,1,1,0,0,1,1,1
4,3.75,16945.0,0,0,0,3,0,3,0
3,4.95,12597.0,1,1,0,0,1,1,1
1,0.85,18118.0,0,0,0,3,0,0,0
1,8.5,13764.0,1,1,0,1,1,1,1
12,2.1,14893.0,1,1,0,0,1,3,1
24,4.15,17428.0,0,0,0,3,0,0,0
1,1.25,17914.0,0,0,0,3,0,0,0
8,1.95,12957.0,1,1,0,0,1,1,1
144,1.85,14156.0,1,1,0,0,3,0,1
12,1.25,17314.0,0,0,0,3,0,0,0
1,1.69,13571.0,1,1,0,0,1,1,1
3,4.95,13988.0,1,1,0,0,1,1,1
12,5.45,17829.0,0,0,0,3,0,0,0
2,8.25,13870.0,1,1,0,1,1,1,1
-1,7.95,17663.0,0,0,0,3,0,3,0
48,0.85,13435.0,1,1,0,0,1,3,1
24,0.85,12610.0,1,1,0,0,1,1,1
6,2.95,16145.0,0,0,0,3,0,3,0
3,2.46,14096.0,1,1,0,0,1,1,1
16,7.65,14088.0,1,1,0,0,1,1,1
2,3.75,14451.0,1,1,0,0,1,1,1
2,0.85,17472.0,0,0,0,3,0,0,0
96,0.72,14646.0,1,1,0,0,1,0,1
-1,2.89,13709.0,1,1,0,0,1,1,1
1,0.19,13271.0,1,1,0,0,1,1,1
3,1.45,14769.0,1,1,0,0,1,3,1
1,8.5,17591.0,0,0,0,3,1,3,0
1,2.55,17081.0,0,0,0,3,0,0,0
-1,4.25,16133.0,0,0,0,3,0,3,0
12,0.85,14911.0,1,1,0,0,1,3,1
6,2.95,17037.0,0,0,0,3,0,0,0
96,1.06,13082.0,1,1,0,0,3,3,1
1,6.25,13208.0,1,1,0,0,1,1,1
3,1.25,15443.0,0,0,0,3,0,3,0
1,4.95,17461.0,0,0,0,3,0,3,0
12,1.25,15727.0,0,0,0,3,0,3,0
1,2.95,17988.0,0,0,0,3,0,0,0
1,2.46,14096.0,1,1,0,0,1,1,1
25,0.42,16722.0,0,0,0,3,0,0,0
1,2.95,15514.0,0,0,0,3,0,3,0
1,4.65,15022.0,1,1,0,0,1,3,1
1,0.39,12748.0,1,1,0,0,1,1,1
1,0.55,13596.0,1,1,0,0,1,1,1
1,50.0,14156.0,1,1,-1,1,3,1,1
12,1.65,14329.0,1,1,0,0,1,3,1
2,0.55,14796.0,1,1,0,0,0,3,1
12,2.95,12406.0,1,1,0,0,1,1,1
6,2.55,14507.0,1,1,0,0,1,3,1
12,1.25,17372.0,0,0,0,3,0,0,0
12,4.25,16586.0,0,0,0,3,0,3,0
96,0.29,13743.0,1,1,0,0,3,3,1
2,6.25,13668.0,1,1,0,0,1,1,1
10,1.65,13055.0,1,1,0,0,1,1,1
3,1.45,17290.0,0,0,0,3,0,0,0
12,0.75,15203.0,0,0,0,0,0,3,0
6,2.55,14056.0,1,1,0,0,1,1,1
72,1.45,15101.0,1,1,0,0,1,3,1
-1,4.95,17422.0,0,0,0,3,0,3,0
1,2.1,12748.0,1,1,0,0,1,1,1
2,4.95,14769.0,1,1,0,0,1,1,1
3,2.55,14505.0,1,1,0,0,1,3,1
2,5.95,16915.0,0,0,0,3,0,3,0
1,2.55,17841.0,0,0,0,3,0,0,0
3,5.79,14096.0,1,1,0,0,1,1,1
4,3.75,14911.0,1,1,0,0,1,3,1
1,18.0,12708.0,1,1,0,1,3,1,1
2,3.75,16712.0,0,0,0,3,0,3,0
24,1.25,15796.0,0,0,0,0,0,3,0
12,1.69,14475.0,1,1,0,0,1,3,1
4,0.83,13474.0,1,1,0,0,1,1,1
1,0.39,13521.0,1,1,0,0,1,1,1
9,0.19,15493.0,0,0,0,3,0,3,0
24,0.55,14911.0,1,1,0,0,1,3,1
1,8.95,14606.0,1,1,0,1,1,1,1
3,15.79,14096.0,1,1,0,1,3,1,1
4,1.95,17385.0,0,0,0,3,0,0,0
12,0.85,14735.0,1,1,0,0,1,3,1
10,1.25,17131.0,0,0,0,3,0,0,0
4,5.95,15708.0,1,1,0,0,1,3,1
12,1.25,16603.0,0,0,0,3,0,0,0
5,0.65,16015.0,0,0,0,3,0,0,0
1,2.08,13521.0,1,1,0,0,1,1,1
24,0.42,13232.0,1,1,0,0,1,1,1
1,1.25,14606.0,1,1,0,0,1,3,1
24,0.65,18183.0,0,0,0,3,0,0,0
24,0.85,15194.0,0,0,0,0,1,3,0
12,1.25,15311.0,0,0,0,0,0,3,0
4,0.19,14375.0,1,1,0,0,1,3,1
3,1.25,13700.0,1,1,0,0,1,1,1
-10,1.65,13458.0,1,1,0,0,1,1,1
6,2.55,17706.0,0,0,0,3,0,0,0
1,1.25,17841.0,0,0,0,3,0,0,0
48,1.65,13014.0,1,1,0,0,1,1,1
1,2.08,15907.0,0,0,0,3,0,3,0
12,4.15,13098.0,1,1,0,0,1,1,1
24,2.55,12433.0,1,1,0,0,1,1,1
48,0.85,15187.0,1,1,0,0,1,3,1
3,2.95,17690.0,0,0,0,3,0,0,0
1,0.85,14662.0,1,1,0,0,1,3,1
12,1.25,16732.0,0,0,0,3,0,0,0
2,6.75,13126.0,1,1,0,0,1,1,1
1,12.5,16418.0,1,1,0,1,1,1,1
4,2.1,17841.0,0,0,0,3,0,0,0
-1,12.75,12921.0,1,1,0,1,1,1,1
24,0.29,15117.0,0,0,0,0,1,3,0
12,2.1,13267.0,1,1,0,0,1,1,1
6,2.95,13767.0,1,1,0,0,1,1,1
10,1.65,12621.0,1,1,0,0,1,1,1
48,0.63,14422.0,1,1,0,0,1,3,1
36,0.39,12748.0,1,1,0,0,1,1,1
1,8.5,15708.0,1,1,0,3,1,1,1
6,2.95,17965.0,0,0,0,3,0,0,0
1,2.1,17841.0,0,0,0,3,0,0,0
12,2.89,13081.0,1,1,0,0,1,1,1
6,1.65,17228.0,0,0,0,3,0,0,0
1,4.95,17764.0,0,0,0,3,0,0,0
2,1.25,16059.0,0,0,0,3,0,3,0
12,1.25,14135.0,1,1,0,0,1,3,1
1,1.25,17841.0,0,0,0,3,0,0,0
18,1.65,13668.0,1,1,0,0,1,1,1
1,2.1,17811.0,0,0,0,3,0,0,0
1,1.95,14796.0,1,1,0,0,1,3,1
1,3.75,14546.0,1,1,0,0,1,1,1
20,0.19,18263.0,0,0,0,3,0,0,0
2,7.95,16745.0,0,0,0,3,1,3,0
6,2.89,14554.0,1,1,0,0,1,3,1
3,2.55,14085.0,1,1,0,0,1,1,1
1,2.1,14071.0,1,1,0,0,1,1,1
6,2.55,18055.0,0,0,0,3,0,0,0
12,1.25,16945.0,0,0,0,3,0,0,0
1,12.75,18245.0,0,0,0,3,3,3,0
-1,1.65,12840.0,1,1,0,0,1,1,1
42,1.25,13777.0,1,1,0,0,1,1,1
6,2.95,15640.0,0,0,0,3,0,3,0
6,2.89,18223.0,0,0,0,3,0,0,0
2,8.25,16609.0,0,0,0,3,1,3,0
4,3.75,13015.0,1,1,0,0,1,1,1
12,2.1,14016.0,1,1,0,0,1,1,1
6,5.95,12748.0,1,1,0,0,1,1,1
2,0.85,16936.0,0,0,0,3,0,0,0
20,1.65,16523.0,0,0,0,3,0,0,0
48,2.08,15341.0,1,1,0,0,1,3,1
1,1.25,16549.0,0,0,0,3,0,0,0
4,3.95,16229.0,0,0,0,3,0,3,0
10,0.42,13148.0,1,1,0,0,1,1,1
6,2.1,16607.0,0,0,0,3,0,0,0
-4,1.65,13534.0,1,1,0,0,1,1,1
36,1.25,13967.0,1,1,0,0,1,3,1
10,6.75,15465.0,1,1,0,0,1,1,1
2,8.5,12584.0,1,1,0,1,1,1,1
1,0.42,17841.0,0,0,0,3,0,0,0
4,5.95,16207.0,0,0,0,3,0,3,0
6,1.45,14415.0,1,1,0,0,1,3,1
3,1.65,14159.0,1,1,0,0,1,3,1
1,1.25,13137.0,1,1,0,0,1,1,1
100,0.72,13269.0,1,1,0,0,3,3,1
12,1.65,16332.0,0,0,0,3,0,0,0
3,3.35,17841.0,0,0,0,3,0,0,0
3,2.95,14156.0,1,1,0,0,1,1,1
-1,4.95,15152.0,1,1,0,0,1,3,1
2,2.55,17602.0,0,0,0,3,0,0,0
24,2.55,18092.0,0,0,0,3,0,0,0
1,1.95,17841.0,0,0,0,3,0,0,0
2,6.75,14180.0,1,1,0,0,1,1,1
6,3.95,12444.0,1,1,0,0,1,1,1
24,1.25,17480.0,0,0,0,3,0,0,0
8,0.42,14408.0,1,1,0,0,1,3,1
12,1.25,14297.0,1,1,0,0,1,3,1
12,1.25,17147.0,0,0,0,3,0,0,0
3,0.75,16713.0,0,0,0,3,0,0,0
80,2.55,18194.0,0,0,0,3,1,0,0
144,0.53,16553.0,1,1,0,0,3,0,1
-1,4.95,18171.0,0,0,0,3,0,0,0
4,1.65,15311.0,0,0,0,3,0,3,0
1,4.95,17788.0,0,0,0,3,0,0,0
1,0.39,17777.0,0,0,0,3,0,0,0
6,1.45,14461.0,1,1,0,0,1,3,1
1,2.1,15547.0,0,0,0,3,0,3,0
1,12.75,15281.0,1,1,0,1,1,1,1
-1,0.85,13534.0,1,1,0,0,1,1,1
2,2.1,14527.0,1,1,0,0,1,3,1
12,3.75,16871.0,0,0,0,3,0,3,0
2,1.95,18022.0,0,0,0,3,0,0,0
6,2.55,16655.0,0,0,0,3,0,0,0
12,1.65,13198.0,1,1,0,0,1,1,1
48,2.55,16133.0,0,0,0,0,1,0,0
24,0.85,16145.0,0,0,0,3,0,0,0
1,1.25,13521.0,1,1,0,0,1,1,1
6,1.45,12748.0,1,1,0,0,1,1,1
